Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,
SkyDancer A Wing & A Prayer Perfumesfor men,for men,3.5,2,"['woody', 'powdery', 'floral', 'musky', 'amber', 'citrus', 'warm spicy', 'soft spicy', 'iris', 'fruity']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/SkyDancer-36419.html
Summer A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'green', 'fresh', 'aromatic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Summer-37009.html
Summer Varies A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['amber', 'citrus', 'vanilla', 'yellow floral', 'fresh spicy', 'sweet', 'woody', 'fresh', 'balsamic', 'powdery']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Summer-Varies-37011.html
Verde Perfume A Wing & A Prayer Perfumesfor women,for women,N/A,N/A,"['citrus', 'green', 'aromatic', 'fresh spicy', 'floral', 'white floral', 'rose', 'yellow floral', 'powdery']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Verde-Perfume-37010.html
Bellini Perfume Oil A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['white floral', 'floral', 'fresh', 'powdery', 'green', 'musky']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Bellini-Perfume-Oil-36133.html
Ginger Spice A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'amber', 'woody', 'warm spicy', 'fresh']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Ginger-Spice-36134.html
Lemon Ice A Wing & A Prayer Perfumesfor women and men,for women and men,3,3,"['citrus', 'aromatic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Lemon-Ice-36146.html
Mojitos A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['green', 'citrus', 'floral', 'fresh spicy', 'aromatic', 'balsamic', 'amber', 'tropical', 'woody', 'lactonic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Mojitos-36135.html
Orange Spice A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['vanilla', 'citrus', 'warm spicy', 'sweet', 'powdery']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Orange-Spice-36119.html
Pink Pamplemousse A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['citrus', 'fresh']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Pink-Pamplemousse-36137.html
Sabra CoCo A Wing & A Prayer Perfumesfor women and men,for women and men,3.5,2,"['citrus', 'cacao', 'sweet', 'warm spicy']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Sabra-CoCo-36138.html
Tea and Lemon A Wing & A Prayer Perfumesfor women and men,for women and men,4,1,"['citrus', 'green', 'fresh', 'aromatic']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Tea-and-Lemon-36144.html
Dreams and Visions A Wing & A Prayer Perfumesfor women and men,for women and men,N/A,N/A,"['woody', 'powdery', 'rose', 'patchouli', 'yellow floral', 'warm spicy', 'aromatic', 'green', 'floral', 'fruity']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Dreams-and-Visions-36325.html
Flowers A Wing & A Prayer Perfumesfor women,for women,5,1,"['yellow floral', 'sweet', 'white floral', 'honey', 'green', 'floral', 'powdery']",['Jane Cate'],https://www.fragrantica.com/perfume/A-Wing-A-Prayer-Perfumes/Flowers-36327.html
