Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Eccentric Franck Bocletfor women and men,for women and men,4.03,58,"['powdery', 'vanilla', 'cherry', 'woody', 'sweet', 'soft spicy', 'musky', 'iris', 'anis', 'citrus']",['Sidonie Lancesseur'],"EccentricbyFranck Bocletis a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance.Eccentricwas launched in 2023. The nose behind this fragrance is Sidonie Lancesseur. Top notes are Star Anise, Mandarin Orange and Bergamot; middle notes are Cherry and Iris; base notes are Vanilla, Sandal and Musk.",https://www.fragrantica.com/perfume/Franck-Boclet/Eccentric-84545.html
Freedom Franck Bocletfor women and men,for women and men,3.81,75,"['fresh spicy', 'white floral', 'vanilla', 'aromatic', 'woody', 'sweet', 'mossy', 'citrus', 'powdery', 'musky']",[],"FreedombyFranck Bocletis a Amber Vanilla fragrance for women and men.Freedomwas launched in 2019. Top notes are Basil, Rosemary, Cumin, Mandarin Orange and Bergamot; middle notes are Tiare Flower, Vanilla, Rum, Tonka Bean and Passionfruit; base notes are Vanilla, Oakmoss, White Musk and Patchouli.",https://www.fragrantica.com/perfume/Franck-Boclet/Freedom-69544.html
Heroes Franck Bocletfor women and men,for women and men,3.89,170,"['woody', 'vanilla', 'aromatic', 'powdery', 'patchouli', 'sweet', 'coconut', 'earthy', 'warm spicy', 'balsamic']",[],"HeroesbyFranck Bocletis a Amber Woody fragrance for women and men.Heroeswas launched in 2016. Top notes are Coconut, Galbanum, Artemisia and Bergamot; middle notes are Guaiac Wood, Patchouli, Vetiver, Heliotrope, Sandalwood, Cedar, Geranium and Ylang-Ylang; base notes are Vanilla, Tonka Bean and Musk.",https://www.fragrantica.com/perfume/Franck-Boclet/Heroes-38130.html
Rebel Franck Bocletfor women and men,for women and men,3.75,100,"['rose', 'warm spicy', 'earthy', 'vanilla', 'mossy', 'patchouli', 'metallic', 'woody', 'leather', 'oud']",[],"RebelbyFranck Bocletis a Amber Floral fragrance for women and men.Rebelwas launched in 2017. Top note is Saffron; middle note is Rose; base notes are Vanilla, Moss, Patchouli and Agarwood (Oud).",https://www.fragrantica.com/perfume/Franck-Boclet/Rebel-44129.html
Sugar Franck Bocletfor women and men,for women and men,3.74,663,"['sweet', 'powdery', 'fruity', 'white floral', 'honey', 'caramel', 'vanilla', 'citrus', 'musky']",[],"SugarbyFranck Bocletis a Floral Fruity Gourmand fragrance for women and men.Sugarwas launched in 2017. Top notes are Marshmallow, Honey, Cassis, Coconut and Bergamot; middle notes are Caramel, Vanilla, Pear, Jasmine and Peach; base notes are Orange Blossom, White Musk, Raspberry and Violet.",https://www.fragrantica.com/perfume/Franck-Boclet/Sugar-44130.html
Vinyl Franck Bocletfor women and men,for women and men,3.91,293,"['whiskey', 'woody', 'coca-cola', 'warm spicy', 'vanilla', 'tobacco', 'powdery', 'amber', 'sweet', 'citrus']",[],"VinylbyFranck Bocletis a Woody Floral Musk fragrance for women and men.Vinylwas launched in 2019. Top notes are Lemon and Mandarin Orange; middle notes are Whiskey, Coca-Cola, Tobacco and Heliotrope; base notes are Vanilla, Amber, Patchouli and Cedar.",https://www.fragrantica.com/perfume/Franck-Boclet/Vinyl-64152.html
Woodstock Franck Bocletfor women and men,for women and men,3.93,275,"['fruity', 'woody', 'floral', 'sweet', 'powdery', 'vanilla', 'cannabis', 'aromatic', 'lactonic', 'herbal']",[],"WoodstockbyFranck Bocletis a Amber Spicy fragrance for women and men.Woodstockwas launched in 2019. Top notes are Bitter Orange, Bergamot and Lime; middle notes are Dried Fruits, Apricot, Osmanthus, cannabis, Hawthorn, Wildflowers and Ylang-Ylang; base notes are Vanilla, Sandalwood, Patchouli and Cedar.",https://www.fragrantica.com/perfume/Franck-Boclet/Woodstock-66681.html
Byzantine Amber Francesca Bianchifor women and men,for women and men,4.23,268,"['amber', 'warm spicy', 'balsamic', 'leather', 'smoky', 'animalic']",['Francesca Bianchi'],"Byzantine AmberbyFrancesca Bianchiis a Amber fragrance for women and men. This is a new fragrance.Byzantine Amberwas launched in 2023. The nose behind this fragrance is Francesca Bianchi. Top notes are Cinnamon and Bergamot; middle note is Geranium; base notes are Leather, Incense, Labdanum, Styrax, Ambergris and Benzoin.",https://www.fragrantica.com/perfume/Francesca-Bianchi/Byzantine-Amber-79763.html
Cuir Soyeux Francesca Bianchifor women and men,for women and men,4.12,58,"['powdery', 'floral', 'vanilla', 'iris', 'leather', 'woody', 'yellow floral', 'animalic', 'musky', 'almond']",['Francesca Bianchi'],Cuir SoyeuxbyFrancesca Bianchiis a Leather fragrance for women and men.Cuir Soyeuxwas launched in 2019. The nose behind this fragrance is Francesca Bianchi.,https://www.fragrantica.com/perfume/Francesca-Bianchi/Cuir-Soyeux-57716.html
Encounters Francesca Bianchifor women and men,for women and men,4.07,192,"['amber', 'woody', 'balsamic', 'citrus', 'oud', 'aromatic', 'warm spicy', 'powdery', 'musky', 'fresh spicy']",['Francesca Bianchi'],"EncountersbyFrancesca Bianchiis a Woody Spicy fragrance for women and men. This is a new fragrance.Encounterswas launched in 2023. The nose behind this fragrance is Francesca Bianchi. Top notes are Orange, Bergamot, Coriander, Lavender and Cassis; middle notes are Iris Butter, Rose, Angelica and Cinnamon; base notes are Agarwood (Oud), Benzoin, Ambergris, Sandalwood, Peru Balsam, Castoreum and Cedarwood.",https://www.fragrantica.com/perfume/Francesca-Bianchi/Encounters-85936.html
Etruscan Water Francesca Bianchifor women and men,for women and men,4.14,965,"['citrus', 'earthy', 'aromatic', 'fresh spicy', 'amber', 'mossy', 'woody', 'herbal', 'powdery', 'iris']",['Francesca Bianchi'],Etruscan WaterbyFrancesca Bianchiis a Chypre fragrance for women and men.Etruscan Waterwas launched in 2019. The nose behind this fragrance is Francesca Bianchi.,https://www.fragrantica.com/perfume/Francesca-Bianchi/Etruscan-Water-54516.html
Libertine Neroli Francesca Bianchifor women and men,for women and men,4.19,279,"['citrus', 'mossy', 'amber', 'earthy', 'animalic', 'woody', 'fresh spicy', 'white floral', 'aromatic', 'leather']",['Francesca Bianchi'],"Libertine NerolibyFrancesca Bianchiis a Chypre Floral fragrance for women and men. This is a new fragrance.Libertine Neroliwas launched in 2022. The nose behind this fragrance is Francesca Bianchi. Top notes are Petitgrain and Bergamot; middle notes are Tunisian Neroli, Iris and Geranium; base notes are Oakmoss, Labdanum, Leather, Animal notes and Benzoin.",https://www.fragrantica.com/perfume/Francesca-Bianchi/Libertine-Neroli-74531.html
Lost In Heaven Francesca Bianchifor women and men,for women and men,3.98,678,"['amber', 'woody', 'animalic', 'sweet', 'powdery', 'citrus', 'yellow floral', 'white floral', 'musky', 'fresh spicy']",['Francesca Bianchi'],Lost In HeavenbyFrancesca Bianchiis a fragrance for women and men.Lost In Heavenwas launched in 2019. The nose behind this fragrance is Francesca Bianchi.,https://www.fragrantica.com/perfume/Francesca-Bianchi/Lost-In-Heaven-57018.html
Love for Sale Francesca Bianchifor women and men,for women and men,4.25,75,"['powdery', 'sweet', 'fruity', 'leather', 'earthy', 'fresh', 'violet', 'vanilla', 'aldehydic', 'woody']",['Francesca Bianchi'],"Love for SalebyFrancesca Bianchiis a Chypre Floral fragrance for women and men. This is a new fragrance.Love for Salewas launched in 2024. The nose behind this fragrance is Francesca Bianchi. Top notes are Red Berries and Aldehydes; middle notes are Peach, Iris, Violet and Rose; base notes are Leather, Cotton Candy, Oakmoss, Vanilla, Vetiver and Heliotrope.",https://www.fragrantica.com/perfume/Francesca-Bianchi/Love-for-Sale-89709.html
