Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url;;
L'Echappee Belle Eau Jeunefor women,for women,4.09,46,"['floral', 'powdery', 'citrus', 'woody', 'warm spicy', 'fruity', 'lactonic', 'aromatic', 'soft spicy', 'vanilla']",['Dominique Ropion'],"L'Echappee BellebyEau Jeuneis a Floral fragrance for women.L'Echappee Bellewas launched in 2009. The nose behind this fragrance is Dominique Ropion. Top notes are Cardamom, Grapefruit and Bergamot; middle notes are Camelia, Osmanthus, Freesia and Apricot; base notes are Sandalwood, Cashmere Wood and Vanille.",https://www.fragrantica.com/perfume/Eau-Jeune/L-Echappee-Belle-11054.html
L'Échappée Belle d'une Nuit Eau Jeunefor women,for women,3.71,7,"['almond', 'citrus', 'sweet', 'fruity', 'vanilla', 'nutty', 'amber', 'aromatic']",[],L'Échappée Belle d'une NuitbyEau Jeuneis a Amber Vanilla fragrance for women.L'Échappée Belle d'une Nuitwas launched in 2021. Top note is Mandarin Orange; middle note is Almond; base note is Tonka Bean.,https://www.fragrantica.com/perfume/Eau-Jeune/L-Echappee-Belle-d-une-Nuit-70829.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.fragrantica.com/perfume/Eau-Jeune/L-Insoumise-33456.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.fragrantica.com/perfume/Eau-Jeune/L-Orientale-11051.html
L'Orientale 2021 Eau Jeunefor women,for women,4.19,36,"['amber', 'vanilla', 'sweet', 'floral', 'warm spicy', 'aromatic', 'fresh', 'woody', 'balsamic', 'fruity']",[],L'Orientale 2021byEau Jeuneis a Amber Floral fragrance for women.L'Orientale 2021was launched in 2021. Top note is Pomegranate; middle notes are Peony and Jasmine; base notes are Tonka Bean and Myrhh.,https://www.fragrantica.com/perfume/Eau-Jeune/L-Orientale-2021-70826.html
Orange Riviera Eau Jeunefor women,for women,4.00,1,"['citrus', 'white floral', 'patchouli', 'musky', 'fresh', 'woody', 'powdery', 'warm spicy', 'earthy', 'green']",['Clare Finn'],Orange RivierabyEau Jeuneis a Floral Green fragrance for women.Orange Rivierawas launched in 2008. The nose behind this fragrance is Clare Finn. Top note is Lemon; middle note is Lily-of-the-Valley; base notes are Patchouli and Musk.,https://www.fragrantica.com/perfume/Eau-Jeune/Orange-Riviera-3586.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.fragrantica.com/perfume/Eau-Jeune/Possesion-70830.html
Rebelle Chic Eau Jeunefor women,for women,4.15,40,"['fruity', 'floral', 'sweet', 'patchouli', 'woody', 'powdery', 'vanilla', 'fresh spicy', 'warm spicy', 'aromatic']",['Christophe Raynaud'],"Rebelle ChicbyEau Jeuneis a Chypre Fruity fragrance for women.Rebelle Chicwas launched in 2009. The nose behind this fragrance is Christophe Raynaud. Top notes are Cranberry, Black Currant and Bergamot; middle notes are Orchid, Peony, Lotus and Freesia; base notes are Marshmallow, Patchouli, Tonka Bean and Vanille.",https://www.fragrantica.com/perfume/Eau-Jeune/Rebelle-Chic-11050.html
Rebelle Street Eau Jeunefor women,for women,4.00,4,"['sweet', 'patchouli', 'vanilla', 'fruity', 'floral', 'powdery', 'woody', 'warm spicy', 'balsamic', 'aquatic']",[],Rebelle StreetbyEau Jeuneis a Amber Vanilla fragrance for women.Rebelle Streetwas launched in 2021. Top note is Pear; middle note is Orchid; base notes are Patchouli and Vanilla.,https://www.fragrantica.com/perfume/Eau-Jeune/Rebelle-Street-70827.html
Rose Nerolita Eau Jeunefor women,for women,4.00,2,"['musky', 'citrus', 'floral', 'powdery', 'fruity', 'fresh', 'sweet', 'green']",['Guillaume Flavigny'],"Rose NerolitabyEau Jeuneis a Floral Fruity fragrance for women.Rose Nerolitawas launched in 2008. The nose behind this fragrance is Guillaume Flavigny. Top notes are Lime, Green Apple and Freesia; middle note is Peony; base notes are Musk and Peach.",https://www.fragrantica.com/perfume/Eau-Jeune/Rose-Nerolita-3588.html
Secret Elixir Eau Jeunefor women,for women,3.67,6,"['woody', 'powdery', 'vanilla', 'warm spicy']",['Sophie Labbé'],"Secret ElixirbyEau Jeuneis a Floral Fruity fragrance for women.Secret Elixirwas launched in 2008. The nose behind this fragrance is Sophie Labbe. Top notes are Citron, Kumquat and Red Apple; middle notes are Jasmine, Freesia and Rose; base notes are Sandalwood, Virginia Cedar and Vanille.",https://www.fragrantica.com/perfume/Eau-Jeune/Secret-Elixir-11055.html
Senteurs Fraiches Eau Jeunefor women,for women,4.32,188,"['citrus', 'green', 'white floral', 'aromatic', 'mossy', 'fresh spicy', 'woody', 'earthy']",[],Senteurs FraichesbyEau Jeuneis a Chypre fragrance for women.Senteurs Fraicheswas launched in 1977. Top notes are Mandarin Orange and Mint; middle notes are Neroli and Jasmine; base notes are oak moss and Palisander Rosewood.,https://www.fragrantica.com/perfume/Eau-Jeune/Senteurs-Fraiches-11052.html
Demon Eau Jeunefor women,for women,3.89,38,"['fruity', 'vanilla', 'powdery', 'sweet', 'white floral', 'soft spicy']",[],DemonbyEau Jeuneis a Floral Fruity fragrance for women.Demonwas launched in 1993. Top notes are Black Currant and Peach; middle notes are Jasmine and Lily-of-the-Valley; base notes are Vanille and Musk.,https://www.fragrantica.com/perfume/Eau-Jeune/Demon-11053.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.fragrantica.com/perfume/Eau-Jeune/Demon-2021-70831.html
Demon In Love Eau Jeunefor women,for women,4.00,7,"['coconut', 'patchouli', 'sweet', 'citrus', 'lactonic', 'woody', 'tropical', 'vanilla', 'warm spicy']",[],Demon In LovebyEau Jeuneis a fragrance for women.Demon In Lovewas launched in 2021. Top note is Bergamot; middle note is Coconut; base note is Patchouli.,https://www.fragrantica.com/perfume/Eau-Jeune/Demon-In-Love-70828.html
Double Je Eau Jeunefor women,for women,4.28,29,"['woody', 'aromatic', 'musky', 'powdery', 'conifer', 'citrus', 'white floral', 'balsamic']",['Pierre Bourdon'],Double JebyEau Jeuneis a Floral Woody Musk fragrance for women.Double Jewas launched in 1999. The nose behind this fragrance is Pierre Bourdon.,https://www.fragrantica.com/perfume/Eau-Jeune/Double-Je-4181.html
Double Je Eau de Toilette Eau Jeunefor women,for women,4.00,1,"['fruity', 'floral', 'woody', 'sweet', 'citrus', 'rose', 'amber', 'patchouli', 'powdery', 'yellow floral']",[],"Double Je Eau de ToilettebyEau Jeuneis a Floral Fruity fragrance for women. Top notes are Pineapple, Apple and Mandarin Orange; middle notes are Freesia, Mimosa and Rose; base notes are Cedar, Patchouli and Amber.",https://www.fragrantica.com/perfume/Eau-Jeune/Double-Je-Eau-de-Toilette-70832.html
