Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description,url
Freetrapper DS&Durgafor men,for men,4.13,177,"['woody', 'aromatic', 'citrus', 'conifer', 'fresh spicy']",['David Seth Moltz'],FreetrapperbyDS&Durgais a Woody fragrance for men.Freetrapperwas launched in 2011. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Freetrapper-12015.html
Gateau Blackout DS&Durgafor women and men,for women and men,3.97,32,"['warm spicy', 'cherry', 'cacao', 'woody', 'smoky', 'vanilla', 'powdery', 'iris', 'aromatic', 'balsamic']",['David Seth Moltz'],"Gateau BlackoutbyDS&Durgais a Floral Fruity Gourmand fragrance for women and men. This is a new fragrance.Gateau Blackoutwas launched in 2024. The nose behind this fragrance is David Seth Moltz. Top notes are Black Cherry, Pine and Incense; middle notes are Cacao Pod, Orris Root and Jasmine; base notes are Fire, Vanilla and Musk.",https://www.fragrantica.com/perfume/DS-Durga/Gateau-Blackout-92267.html
Grapefruit DS&Durgafor women,for women,3.75,4,"['citrus', 'fresh spicy', 'floral', 'fruity', 'aromatic']",['David Seth Moltz'],GrapefruitbyDS&Durgais a Citrus fragrance for women.Grapefruitwas launched during the 2000's. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Grapefruit-8797.html
Grapefruit Generation DS&Durgafor women and men,for women and men,3.81,202,"['citrus', 'fresh spicy', 'woody', 'white floral', 'musky', 'aromatic']",['David Seth Moltz'],"Grapefruit GenerationbyDS&Durgais a Citrus Aromatic fragrance for women and men.Grapefruit Generationwas launched in 2021. The nose behind this fragrance is David Seth Moltz. Top notes are Pomelo and Elm; middle notes are Paradisone, Hawthorn and Tuberose; base notes are Grapefruit, Natural Musk and Cork.",https://www.fragrantica.com/perfume/DS-Durga/Grapefruit-Generation-69599.html
Handbook For The Recently Deceased DS&Durgafor women and men,for women and men,3.0,8,"['woody', 'amber', 'smoky', 'warm spicy', 'patchouli', 'balsamic', 'beeswax', 'herbal', 'honey']",['David Seth Moltz'],"Handbook For The Recently DeceasedbyDS&Durgais a fragrance for women and men.Handbook For The Recently Deceasedwas launched in 2021. The nose behind this fragrance is David Seth Moltz. Top notes are Incense and Chalk; middle notes are Woody Notes and Artemisia; base notes are Patchouli, Beeswax and Paper.",https://www.fragrantica.com/perfume/DS-Durga/Handbook-For-The-Recently-Deceased-70053.html
I Don’t Know What DS&Durgafor women and men,for women and men,3.76,732,"['woody', 'amber', 'musky', 'powdery', 'aromatic', 'animalic', 'citrus']",['David Seth Moltz'],"I Don’t Know WhatbyDS&Durgais a Woody Aromatic fragrance for women and men.I Don’t Know Whatwas launched in 2018. The nose behind this fragrance is David Seth Moltz. Top note is Bergamot; middle notes are Iso E Super and Vetiver; base notes are Sandalwood, Amber and Synthetic Civet.",https://www.fragrantica.com/perfume/DS-Durga/I-Don-t-Know-What-50118.html
Italian Citrus DS&Durgafor men,for men,3.64,277,"['citrus', 'musky', 'fresh']",['David Seth Moltz'],Italian CitrusbyDS&Durgais a Citrus fragrance for men.Italian Citruswas launched in 2011. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Italian-Citrus-12014.html
J. Crew Homesteader’s Cologne DS&Durgafor men,for men,4.48,23,"['woody', 'aromatic', 'camphor', 'herbal']",['David Seth Moltz'],J. Crew Homesteader’s ColognebyDS&Durgais a Aromatic Fougere fragrance for men.J. Crew Homesteader’s Colognewas launched in 2013. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/J-Crew-Homesteader-s-Cologne-20608.html
Jazmin Yucatan DS&Durgafor women and men,for women and men,4.04,520,"['white floral', 'aquatic', 'floral', 'aromatic', 'amber', 'fresh', 'warm spicy', 'fruity', 'sweet']",['David Seth Moltz'],"Jazmin YucatanbyDS&Durgais a fragrance for women and men.Jazmin Yucatanwas launched in 2020. The nose behind this fragrance is David Seth Moltz. Top notes are Water Notes, Passion Flower and Bergamot; middle notes are Jasmine Sambac and Cloves; base notes are Snake Plant, Copal and Vetiver.",https://www.fragrantica.com/perfume/DS-Durga/Jazmin-Yucatan-59589.html
Juniper DS&Durgafor men,for men,4.0,2,"['woody', 'aromatic', 'fresh spicy', 'conifer']",['David Seth Moltz'],JuniperbyDS&Durgais a Woody Aromatic fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Juniper-8811.html
Lady Greystock DS&Durgafor women,for women,4.5,8,"['powdery', 'violet', 'iris', 'amber', 'floral', 'earthy', 'woody']",['David Seth Moltz'],Lady GreystockbyDS&Durgais a Floral fragrance for women.Lady Greystockwas launched in 2011. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Lady-Greystock-12113.html
Leatherize DS&Durgafor women and men,for women and men,3.71,114,"['woody', 'amber', 'aromatic', 'fresh spicy', 'iris', 'earthy', 'powdery', 'balsamic']",['David Seth Moltz'],LeatherizebyDS&Durgais a Leather fragrance for women and men. This is a new fragrance.Leatherizewas launched in 2022. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Leatherize-76147.html
Let's Dive DS&Durgafor women and men,for women and men,3.82,11,"['marine', 'ozonic', 'aromatic', 'aquatic', 'salty', 'animalic', 'amber']",['David Seth Moltz'],Let's DivebyDS&Durgais a Aromatic Aquatic fragrance for women and men. This is a new fragrance.Let's Divewas launched in 2024. The nose behind this fragrance is David Seth Moltz. Top notes are Sea water and Seaweed; middle notes are Ozonic notes and Rock rose; base notes are Choya Nakh and Ambergris.,https://www.fragrantica.com/perfume/DS-Durga/Let-s-Dive-94181.html
Lilac City DS&Durgafor women and men,for women and men,4.44,16,"['floral', 'fresh', 'green']",['David Seth Moltz'],Lilac CitybyDS&Durgais a fragrance for women and men.Lilac Citywas launched in 2020. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Lilac-City-61237.html
M'Head Reds DS&Durgafor men,for men,4.5,2,"['woody', 'citrus', 'mossy', 'anis', 'earthy', 'white floral', 'soft spicy', 'sweet', 'fresh spicy', 'floral']",['David Seth Moltz'],M'Head RedsbyDS&Durgais a Chypre fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/M-Head-Reds-8806.html
Magnolia City DS&Durgafor women and men,for women and men,4.33,9,"['floral', 'citrus', 'aromatic', 'lactonic']",['David Seth Moltz'],"Magnolia CitybyDS&Durgais a Floral fragrance for women and men.Magnolia Citywas launched in 2021. The nose behind this fragrance is David Seth Moltz. Top notes are Moss flox, Lemon and Galbanum; middle notes are Magnolia brooklynensis, Narcissus and Orchid; base notes are Saucer Magnolia, Cherry Tree and White Musk.",https://www.fragrantica.com/perfume/DS-Durga/Magnolia-City-67397.html
Mahogany Kora DS&Durgafor women and men,for women and men,3.47,15,"['woody', 'patchouli']","['David Seth Moltz', 'Kavi Moltz']","Mahogany KorabyDS&Durgais a fragrance for women and men. This is a new fragrance.Mahogany Korawas launched in 2023. Mahogany Kora was created by David Seth Moltz and Kavi Moltz. Top notes are Papyrus, Atlas Cedar and Hibiscus; middle notes are Mahogany, Nutmeg and Orange Blossom; base notes are Patchouli, Vanilla, Cashew and Rum.",https://www.fragrantica.com/perfume/DS-Durga/Mahogany-Kora-82635.html
Mississippi Medicine DS&Durgafor men,for men,4.02,629,"['woody', 'smoky', 'aromatic', 'leather', 'amber', 'balsamic', 'fresh spicy']",['David Seth Moltz'],Mississippi MedicinebyDS&Durgais a Amber Woody fragrance for men.Mississippi Medicinewas launched in 2011. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Mississippi-Medicine-12013.html
My Indian Childhood DS&Durgafor women,for women,3.93,14,"['floral', 'patchouli', 'sweet', 'green', 'tobacco', 'woody', 'tropical', 'warm spicy', 'fruity', 'balsamic']",['David Seth Moltz'],My Indian ChildhoodbyDS&Durgais a Amber Floral fragrance for women.My Indian Childhoodwas launched during the 2000's. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/My-Indian-Childhood-8796.html
Notorious Oud DS&Durgafor women and men,for women and men,3.96,269,"['oud', 'warm spicy', 'woody', 'camphor', 'leather', 'metallic', 'musky', 'green', 'rose', 'amber']",[],"Notorious OudbyDS&Durgais a fragrance for women and men.Notorious Oudwas launched in 2019. Top notes are Saffron, Camphor and Galbanum; middle notes are Agarwood (Oud), Bulgarian Rose and Lavender; base notes are Papyrus, Civet and Cetalox.",https://www.fragrantica.com/perfume/DS-Durga/Notorious-Oud-56041.html
Orris Root DS&Durgafor men,for men,3.88,8,"['iris', 'powdery', 'earthy', 'woody']",['David Seth Moltz'],Orris RootbyDS&Durgais a Woody fragrance for men. The nose behind this fragrance is David Seth Moltz.,https://www.fragrantica.com/perfume/DS-Durga/Orris-Root-8812.html
